;hour_of_day;act1
0;0.0;0.0
1;1.0;0.0
2;2.0;0.0
3;3.0;0.0
4;4.0;0.0
5;5.0;0.0
6;6.0;0.0
7;7.0;1.0
8;8.0;1.0
9;9.0;0.0
10;10.0;0.0
11;11.0;0.0
12;12.0;3.0
13;13.0;3.0
14;14.0;0.0
15;15.0;0.0
16;16.0;0.0
17;17.0;0.0
18;18.0;5.0
19;19.0;0.0
20;20.0;0.0
21;21.0;0.0
22;22.0;6.0
23;23.0;6.0
24;0.0;6.0
25;1.0;6.0
26;2.0;6.0
27;3.0;6.0
28;4.0;6.0
29;5.0;6.0
30;6.0;6.0
31;7.0;0.0
32;8.0;1.0
33;9.0;1.0
34;10.0;0.0
35;11.0;0.0
36;12.0;4.0
37;13.0;3.0
38;14.0;3.0
39;15.0;0.0
40;16.0;0.0
41;17.0;0.0
42;18.0;5.0
43;19.0;5.0
44;20.0;0.0
45;21.0;0.0
46;22.0;6.0
47;23.0;6.0
48;0.0;6.0
49;1.0;6.0
50;2.0;6.0
51;3.0;6.0
52;4.0;6.0
53;5.0;6.0
54;6.0;6.0
55;7.0;6.0
56;8.0;0.0
57;9.0;0.0
58;10.0;0.0
59;11.0;0.0
60;12.0;0.0
61;13.0;3.0
62;14.0;0.0
63;15.0;0.0
64;16.0;4.0
65;17.0;0.0
66;18.0;0.0
67;19.0;5.0
68;20.0;5.0
69;21.0;0.0
70;22.0;0.0
71;23.0;6.0
72;0.0;6.0
73;1.0;6.0
74;2.0;6.0
75;3.0;6.0
76;4.0;6.0
77;5.0;6.0
78;6.0;6.0
79;7.0;6.0
80;8.0;1.0
81;9.0;1.0
82;10.0;0.0
83;11.0;0.0
84;12.0;3.0
85;13.0;3.0
86;14.0;0.0
87;15.0;0.0
88;16.0;0.0
89;17.0;0.0
90;18.0;0.0
91;19.0;5.0
92;20.0;5.0
93;21.0;0.0
94;22.0;6.0
95;23.0;6.0
96;0.0;6.0
97;1.0;6.0
98;2.0;6.0
99;3.0;6.0
100;4.0;6.0
101;5.0;6.0
102;6.0;6.0
103;7.0;0.0
104;8.0;1.0
105;9.0;1.0
106;10.0;0.0
107;11.0;0.0
108;12.0;3.0
109;13.0;3.0
110;14.0;0.0
111;15.0;0.0
112;16.0;0.0
113;17.0;0.0
114;18.0;5.0
115;19.0;5.0
116;20.0;0.0
117;21.0;0.0
118;22.0;6.0
119;23.0;6.0
120;0.0;6.0
121;1.0;6.0
122;2.0;6.0
123;3.0;6.0
124;4.0;6.0
125;5.0;6.0
126;6.0;6.0
127;7.0;6.0
128;8.0;1.0
129;9.0;0.0
130;10.0;0.0
131;11.0;0.0
132;12.0;0.0
133;13.0;3.0
134;14.0;0.0
135;15.0;4.0
136;16.0;0.0
137;17.0;0.0
138;18.0;5.0
139;19.0;5.0
140;20.0;0.0
141;21.0;0.0
142;22.0;0.0
143;23.0;6.0
144;0.0;6.0
145;1.0;6.0
146;2.0;6.0
147;3.0;6.0
148;4.0;6.0
149;5.0;6.0
150;6.0;6.0
151;7.0;6.0
152;8.0;1.0
153;9.0;1.0
154;10.0;0.0
155;11.0;0.0
156;12.0;3.0
157;13.0;3.0
158;14.0;0.0
159;15.0;0.0
160;16.0;0.0
161;17.0;0.0
162;18.0;5.0
163;19.0;4.0
164;20.0;0.0
165;21.0;0.0
166;22.0;0.0
167;23.0;6.0
168;0.0;6.0
169;1.0;6.0
170;2.0;6.0
171;3.0;6.0
172;4.0;6.0
173;5.0;6.0
174;6.0;6.0
175;7.0;6.0
176;8.0;6.0
177;9.0;6.0
178;10.0;4.0
179;11.0;4.0
180;12.0;3.0
181;13.0;0.0
182;14.0;0.0
183;15.0;0.0
184;16.0;4.0
185;17.0;0.0
186;18.0;0.0
187;19.0;5.0
188;20.0;5.0
189;21.0;0.0
190;22.0;6.0
191;23.0;6.0
192;0.0;6.0
193;1.0;6.0
194;2.0;6.0
195;3.0;6.0
196;4.0;6.0
197;5.0;6.0
198;6.0;6.0
199;7.0;6.0
200;8.0;6.0
201;9.0;6.0
202;10.0;0.0
203;11.0;4.0
204;12.0;0.0
205;13.0;3.0
206;14.0;3.0
207;15.0;0.0
208;16.0;0.0
209;17.0;0.0
210;18.0;0.0
211;19.0;5.0
212;20.0;5.0
213;21.0;0.0
214;22.0;0.0
215;23.0;6.0
216;0.0;6.0
217;1.0;6.0
218;2.0;6.0
219;3.0;6.0
220;4.0;6.0
221;5.0;6.0
222;6.0;6.0
223;7.0;6.0
224;8.0;6.0
225;9.0;1.0
226;10.0;0.0
227;11.0;0.0
228;12.0;3.0
229;13.0;0.0
230;14.0;0.0
231;15.0;0.0
232;16.0;0.0
233;17.0;0.0
234;18.0;5.0
235;19.0;5.0
236;20.0;0.0
237;21.0;0.0
238;22.0;0.0
239;23.0;6.0
240;0.0;6.0
241;1.0;6.0
242;2.0;6.0
243;3.0;6.0
244;4.0;6.0
245;5.0;6.0
246;6.0;6.0
247;7.0;1.0
248;8.0;1.0
249;9.0;0.0
250;10.0;0.0
251;11.0;4.0
252;12.0;0.0
253;13.0;3.0
254;14.0;3.0
255;15.0;0.0
256;16.0;0.0
257;17.0;0.0
258;18.0;0.0
259;19.0;4.0
260;20.0;0.0
261;21.0;0.0
262;22.0;0.0
263;23.0;6.0
264;0.0;6.0
265;1.0;6.0
266;2.0;6.0
267;3.0;6.0
268;4.0;6.0
269;5.0;6.0
270;6.0;6.0
271;7.0;6.0
272;8.0;6.0
273;9.0;1.0
274;10.0;1.0
275;11.0;4.0
276;12.0;0.0
277;13.0;3.0
278;14.0;3.0
