;Activity;Hour
0;breakfast_Retiree;7.95
1;lunch_Retiree;12.416666666666666
2;dinner_Retiree;18.083333333333332
3;sleep_Retiree;22.916666666666668
4;breakfast_Retiree;8.616666666666667
5;workout_Retiree;12.0
6;lunch_Retiree;13.5
7;dinner_Retiree;18.933333333333334
8;sleep_Retiree;22.083333333333332
9;lunch_Retiree;13.033333333333333
10;workout_Retiree;16.0
11;dinner_Retiree;19.866666666666667
12;sleep_Retiree;23.466666666666665
13;breakfast_Retiree;8.566666666666666
14;lunch_Retiree;12.583333333333334
15;dinner_Retiree;19.9
16;sleep_Retiree;22.1
17;breakfast_Retiree;8.7
18;lunch_Retiree;12.533333333333333
19;dinner_Retiree;18.3
20;sleep_Retiree;22.016666666666666
21;breakfast_Retiree;8.0
22;lunch_Retiree;13.316666666666666
23;workout_Retiree;15.0
24;dinner_Retiree;18.616666666666667
25;sleep_Retiree;23.1
26;breakfast_Retiree;8.433333333333334
27;lunch_Retiree;12.416666666666666
28;dinner_Retiree;18.116666666666667
29;workout_Retiree;19.0
30;sleep_Retiree;23.133333333333333
31;workout_Retiree;10.0
32;workout_Retiree;11.0
33;lunch_Retiree;12.266666666666667
34;workout_Retiree;16.0
35;dinner_Retiree;19.233333333333334
36;sleep_Retiree;22.933333333333334
37;workout_Retiree;11.0
38;lunch_Retiree;13.916666666666666
39;dinner_Retiree;19.65
40;sleep_Retiree;23.0
41;breakfast_Retiree;9.0
42;lunch_Retiree;12.333333333333334
43;dinner_Retiree;18.583333333333332
44;sleep_Retiree;23.483333333333334
45;breakfast_Retiree;7.7
46;workout_Retiree;11.0
47;lunch_Retiree;13.516666666666667
48;workout_Retiree;19.0
49;sleep_Retiree;23.066666666666666
50;breakfast_Retiree;9.983333333333333
51;workout_Retiree;11.0
52;lunch_Retiree;13.75
53;workout_Retiree;16.0
54;workout_Retiree;17.0
55;workout_Retiree;18.0
56;dinner_Retiree;19.6
57;sleep_Retiree;22.283333333333335
58;workout_Retiree;8.0
59;breakfast_Retiree;8.583333333333334
60;lunch_Retiree;12.45
61;workout_Retiree;18.0
62;dinner_Retiree;19.316666666666666
63;sleep_Retiree;23.05
64;breakfast_Retiree;9.183333333333334
65;lunch_Retiree;13.716666666666667
66;dinner_Retiree;19.116666666666667
67;sleep_Retiree;22.183333333333334
68;workout_Retiree;7.0
69;breakfast_Retiree;8.516666666666667
70;lunch_Retiree;13.6
71;workout_Retiree;16.0
72;workout_Retiree;17.0
73;dinner_Retiree;19.4
74;sleep_Retiree;22.083333333333332
75;workout_Retiree;8.0
76;workout_Retiree;12.0
77;workout_Retiree;13.0
78;lunch_Retiree;13.75
79;workout_Retiree;16.0
